date,grocery_sales,cpi_fah,restaurant_sales,oil_prices,ppi_farm_products,ppi_food_mfg,ppi_grocery,wages_retail,grocery_units,covid1,covid2,grocery_sales_diff,cpi_fah_diff,restaurant_sales_diff,oil_prices_diff,ppi_farm_products_diff,ppi_food_mfg_diff,ppi_grocery_diff,wages_retail_diff,grocery_units_diff,grocery_sales_yoy,cpi_fah_yoy,restaurant_sales_yoy,oil_prices_yoy,ppi_farm_products_yoy,ppi_food_mfg_yoy,ppi_grocery_yoy,wages_retail_yoy,grocery_units_yoy,cpi_fah_yoy_lag1,cpi_fah_yoy_lag2,cpi_fah_yoy_lag3,cpi_fah_yoy_lag4,cpi_fah_yoy_lag5,cpi_fah_yoy_lag6,cpi_fah_yoy_lag7,cpi_fah_yoy_lag8,cpi_fah_yoy_lag9,cpi_fah_yoy_lag10,cpi_fah_yoy_lag11,cpi_fah_yoy_lag12,oil_prices_yoy_lag1,oil_prices_yoy_lag2,oil_prices_yoy_lag3,oil_prices_yoy_lag4,oil_prices_yoy_lag5,oil_prices_yoy_lag6,oil_prices_yoy_lag7,oil_prices_yoy_lag8,oil_prices_yoy_lag9,oil_prices_yoy_lag10,oil_prices_yoy_lag11,oil_prices_yoy_lag12,ppi_farm_products_yoy_lag1,ppi_farm_products_yoy_lag2,ppi_farm_products_yoy_lag3,ppi_farm_products_yoy_lag4,ppi_farm_products_yoy_lag5,ppi_farm_products_yoy_lag6,ppi_farm_products_yoy_lag7,ppi_farm_products_yoy_lag8,ppi_farm_products_yoy_lag9,ppi_farm_products_yoy_lag10,ppi_farm_products_yoy_lag11,ppi_farm_products_yoy_lag12,ppi_food_mfg_yoy_lag1,ppi_food_mfg_yoy_lag2,ppi_food_mfg_yoy_lag3,ppi_food_mfg_yoy_lag4,ppi_food_mfg_yoy_lag5,ppi_food_mfg_yoy_lag6,ppi_food_mfg_yoy_lag7,ppi_food_mfg_yoy_lag8,ppi_food_mfg_yoy_lag9,ppi_food_mfg_yoy_lag10,ppi_food_mfg_yoy_lag11,ppi_food_mfg_yoy_lag12,ppi_grocery_yoy_lag1,ppi_grocery_yoy_lag2,ppi_grocery_yoy_lag3,ppi_grocery_yoy_lag4,ppi_grocery_yoy_lag5,ppi_grocery_yoy_lag6,ppi_grocery_yoy_lag7,ppi_grocery_yoy_lag8,ppi_grocery_yoy_lag9,ppi_grocery_yoy_lag10,ppi_grocery_yoy_lag11,ppi_grocery_yoy_lag12,wages_retail_yoy_lag1,wages_retail_yoy_lag2,wages_retail_yoy_lag3,wages_retail_yoy_lag4,wages_retail_yoy_lag5,wages_retail_yoy_lag6,wages_retail_yoy_lag7,wages_retail_yoy_lag8,wages_retail_yoy_lag9,wages_retail_yoy_lag10,wages_retail_yoy_lag11,wages_retail_yoy_lag12
2010-04-01,43186.0,215.721,33799.0,84.29285714285714,149.1,173.6,146.5,15.59,200.19376880322267,0,0,-118.0,0.17099999999999227,-363.0,3.089378881987571,-1.200000000000017,1.0,-2.3000000000000114,0.0600000000000005,-0.70625439325147,2.1235338630344325,-0.03985042190475241,4.285714285714293,69.78553204550253,8.991228070175428,2.9655990510083052,-5.239327296248375,2.095612311722328,2.164246746398679,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,-2.4950058740977443,-1.6923508500843898,-0.9170107578647224,0.7603208160089414,1.5410764872521243,2.3281507086397646,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,-33.33470545188438,-39.104241241800985,-51.899351091964995,-47.98258956460331,-52.92693717128372,-55.901166976882536,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,-22.446483180428135,-21.00789313904068,-24.497991967871492,-19.353007945516453,-18.797878609310537,-17.936412717456495,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,-5.412946428571419,-5.983379501385045,-5.879090404880771,-2.66893810335036,-2.011494252873558,-1.5186915887850483,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,-1.12137203166226,-1.4983713355048889,0.19775873434411118,4.816053511705687,4.200000000000004,3.7583892617449655,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645,1.5081967213114833,1.5717092337917515,1.1176857330703394,0.987491770901916,0.8535784635587573,0.5928853754940677
2010-05-01,43224.0,215.717,35152.0,73.7435,150.0,175.8,144.3,15.49,200.37363768270464,0,0,38.0,-0.003999999999990678,1353.0,-10.549357142857147,0.9000000000000057,2.200000000000017,-2.1999999999999886,-0.09999999999999964,0.1798688794819725,2.184397163120577,0.3036305471859624,1.4722013740546158,24.92863616727512,8.853410740203183,3.1085043988269945,-7.677543186180424,0.8463541666666741,1.8750733205512793,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,-2.4950058740977443,-1.6923508500843898,-0.9170107578647224,0.7603208160089414,1.5410764872521243,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,-33.33470545188438,-39.104241241800985,-51.899351091964995,-47.98258956460331,-52.92693717128372,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,-22.446483180428135,-21.00789313904068,-24.497991967871492,-19.353007945516453,-18.797878609310537,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,-5.412946428571419,-5.983379501385045,-5.879090404880771,-2.66893810335036,-2.011494252873558,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,-1.12137203166226,-1.4983713355048889,0.19775873434411118,4.816053511705687,4.200000000000004,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645,1.5081967213114833,1.5717092337917515,1.1176857330703394,0.987491770901916,0.8535784635587573
2010-06-01,42920.0,215.476,34109.0,75.3359090909091,141.6,174.6,146.9,15.51,199.1869164083239,0,0,-304.0,-0.24100000000001387,-1043.0,1.5924090909091007,-8.400000000000006,-1.200000000000017,2.5999999999999943,0.019999999999999574,-1.1867212743807443,0.9169997648718509,0.24330900243307862,3.3011296526242573,8.177664643300053,-0.3518648838845895,1.8669778296382722,-6.253988513082309,1.1082138200782188,0.672055590685261,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,-2.4950058740977443,-1.6923508500843898,-0.9170107578647224,0.7603208160089414,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,-33.33470545188438,-39.104241241800985,-51.899351091964995,-47.98258956460331,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,-22.446483180428135,-21.00789313904068,-24.497991967871492,-19.353007945516453,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,-5.412946428571419,-5.983379501385045,-5.879090404880771,-2.66893810335036,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,-1.12137203166226,-1.4983713355048889,0.19775873434411118,4.816053511705687,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645,1.5081967213114833,1.5717092337917515,1.1176857330703394,0.987491770901916
2010-07-01,43052.0,215.451,35598.0,76.31952380952382,146.8,174.6,145.9,15.56,199.82269750430493,0,0,132.0,-0.025000000000005684,1489.0,0.9836147186147173,5.200000000000017,0.0,-1.0,0.05000000000000071,0.6357810959810308,1.3465160075329496,0.6559307068073839,4.909819639278568,18.966204259009057,11.550151975683898,2.8874484384207477,-4.013157894736841,1.1703511053315907,0.6860850581543065,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,-2.4950058740977443,-1.6923508500843898,-0.9170107578647224,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,-33.33470545188438,-39.104241241800985,-51.899351091964995,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,-22.446483180428135,-21.00789313904068,-24.497991967871492,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,-5.412946428571419,-5.983379501385045,-5.879090404880771,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,-1.12137203166226,-1.4983713355048889,0.19775873434411118,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645,1.5081967213114833,1.5717092337917515,1.1176857330703394
2010-08-01,43258.0,215.361,34878.0,76.59909090909092,148.4,175.3,145.2,15.54,200.86273745014185,0,0,206.0,-0.09000000000000341,-720.0,0.27956709956710313,1.5999999999999943,0.700000000000017,-0.700000000000017,-0.02000000000000135,1.0400399458369236,2.021178745784291,0.7447291234931042,3.5539324841898923,7.818069700585095,14.066102997694085,3.299941072480861,-3.9682539682539653,0.19342359767891004,1.2670138015126398,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,-2.4950058740977443,-1.6923508500843898,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,-33.33470545188438,-39.104241241800985,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,-22.446483180428135,-21.00789313904068,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,-5.412946428571419,-5.983379501385045,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,-1.12137203166226,-1.4983713355048889,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645,1.5081967213114833,1.5717092337917515
2010-09-01,43646.0,216.166,32260.0,75.24190476190476,154.1,177.3,151.3,15.57,201.9096435147063,0,0,388.0,0.8050000000000068,-2618.0,-1.3571861471861553,5.699999999999989,2.0,6.100000000000023,0.030000000000001137,1.046906064564439,2.2370054578248366,1.3441225697260695,4.736859192883358,8.40508517601215,21.529968454258675,4.6017699115044275,0.9339559706470935,0.5813953488372103,0.8810406222466982,0.7447291234931042,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,-2.4950058740977443,7.818069700585095,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,-33.33470545188438,14.066102997694085,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,-22.446483180428135,3.299941072480861,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,-5.412946428571419,-3.9682539682539653,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,-1.12137203166226,0.19342359767891004,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645,1.5081967213114833
2010-10-01,43493.0,216.534,34116.0,81.89285714285714,157.4,178.2,151.2,15.63,200.85991114559377,0,0,-153.0,0.367999999999995,1856.0,6.650952380952376,3.3000000000000114,0.8999999999999773,-0.10000000000002274,0.0600000000000005,-1.0497323691125189,1.7070832261534497,1.434380152900605,5.455781892368083,8.15870767003597,18.168168168168176,5.88235294117645,3.208191126279858,1.5594541910331383,0.2688467882800305,1.3441225697260695,0.7447291234931042,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,-2.7604176156551197,8.40508517601215,7.818069700585095,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,-1.1659787431637536,21.529968454258675,14.066102997694085,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,-8.327598072952524,4.6017699115044275,3.299941072480861,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,-4.591836734693877,0.9339559706470935,-3.9682539682539653,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,-3.5549703752468798,0.5813953488372103,0.19342359767891004,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488,1.1169513797634645
2010-11-01,44121.0,217.105,32037.0,84.25285714285714,162.1,179.4,152.5,15.63,203.2242463324198,0,0,628.0,0.570999999999998,-2079.0,2.3599999999999994,4.699999999999989,1.200000000000017,1.3000000000000114,0.0,2.3643351868260254,3.0671837039805583,1.7442814094843495,5.4438337228055245,8.030333559247516,19.630996309963102,6.091070372560625,4.595336076817547,1.2961762799740928,1.300222750772595,1.434380152900605,1.3441225697260695,0.7447291234931042,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,-2.858482577778587,8.15870767003597,8.40508517601215,7.818069700585095,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,36.08570274043053,18.168168168168176,21.529968454258675,14.066102997694085,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,-5.310971348707194,5.88235294117645,4.6017699115044275,3.299941072480861,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,-2.4798154555940033,3.208191126279858,0.9339559706470935,-3.9682539682539653,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,-6.658130601792555,1.5594541910331383,0.5813953488372103,0.19342359767891004,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205,1.1803278688524488
2010-12-01,44184.0,217.419,34357.0,89.14590909090909,166.8,179.8,152.3,15.65,203.22050970706331,0,0,63.0,0.3140000000000214,2320.0,4.893051948051948,4.700000000000017,0.4000000000000057,-0.19999999999998863,0.019999999999999574,-0.003736625356481227,2.296721615113917,1.674156725386866,5.951830264902713,19.70714259555404,17.87985865724382,5.02336448598133,4.962095106822884,1.2289780077619605,0.6123137971122405,1.7442814094843495,1.434380152900605,1.3441225697260695,0.7447291234931042,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,-2.429242162226297,8.030333559247516,8.15870767003597,8.40508517601215,7.818069700585095,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,81.09607817128708,19.630996309963102,18.168168168168176,21.529968454258675,14.066102997694085,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.675877520537709,6.091070372560625,5.88235294117645,4.6017699115044275,3.299941072480861,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,0.058445353594382965,4.595336076817547,3.208191126279858,0.9339559706470935,-3.9682539682539653,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,-6.0233160621761765,1.2961762799740928,1.5594541910331383,0.5813953488372103,0.19342359767891004,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084,1.178010471204205
2011-01-01,44639.0,219.251,32237.0,89.1705,173.3,181.1,154.5,15.71,203.59770308915353,0,0,455.0,1.8319999999999936,-2120.0,0.02459090909091799,6.5,1.299999999999983,2.1999999999999886,0.0600000000000005,0.377193382090212,3.7440736264757746,2.1016308245396687,4.151589558025326,13.845644709344906,21.61403508771931,5.168408826945425,6.92041522491349,1.5513897866838988,1.6086352281273752,1.674156725386866,1.7442814094843495,1.434380152900605,1.3441225697260695,0.7447291234931042,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,-1.9250706772686366,19.70714259555404,8.030333559247516,8.15870767003597,8.40508517601215,7.818069700585095,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,87.78659667629876,17.87985865724382,19.630996309963102,18.168168168168176,21.529968454258675,14.066102997694085,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,4.472140762463339,5.02336448598133,6.091070372560625,5.88235294117645,4.6017699115044275,3.299941072480861,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,1.2345679012345734,4.962095106822884,4.595336076817547,3.208191126279858,0.9339559706470935,-3.9682539682539653,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,-6.2297209604153085,1.2289780077619605,1.2961762799740928,1.5594541910331383,0.5813953488372103,0.19342359767891004,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854,1.1772400261609084
2011-02-01,44961.0,220.732,32452.0,88.57842105263158,189.8,184.6,156.1,15.72,203.69044814526214,0,0,322.0,1.4809999999999945,215.0,-0.5920789473684209,16.5,3.5,1.5999999999999943,0.009999999999999787,0.09274505610861183,2.8032468274837186,2.796095525502018,6.2745611736966245,15.959513835299322,33.38018271257906,7.076566125290018,3.3090668431502213,1.5503875968992276,0.0069567836649131465,2.1016308245396687,1.674156725386866,1.7442814094843495,1.434380152900605,1.3441225697260695,0.7447291234931042,0.6559307068073839,0.24330900243307862,0.3036305471859624,-0.03985042190475241,-0.6448520159115789,-1.4692791263249627,13.845644709344906,19.70714259555404,8.030333559247516,8.15870767003597,8.40508517601215,7.818069700585095,18.966204259009057,8.177664643300053,24.92863616727512,69.78553204550253,69.38885723732105,95.42724800043088,21.61403508771931,17.87985865724382,19.630996309963102,18.168168168168176,21.529968454258675,14.066102997694085,11.550151975683898,-0.3518648838845895,8.853410740203183,8.991228070175428,15.084226646248089,7.153614457831314,5.168408826945425,5.02336448598133,6.091070372560625,5.88235294117645,4.6017699115044275,3.299941072480861,2.8874484384207477,1.8669778296382722,3.1085043988269945,2.9655990510083052,2.9832935560859086,2.193242442205112,6.92041522491349,4.962095106822884,4.595336076817547,3.208191126279858,0.9339559706470935,-3.9682539682539653,-4.013157894736841,-6.253988513082309,-7.677543186180424,-5.239327296248375,-6.649937264742778,-1.3063357282821708,1.5513897866838988,1.2289780077619605,1.2961762799740928,1.5594541910331383,0.5813953488372103,0.19342359767891004,1.1703511053315907,1.1082138200782188,0.8463541666666741,2.095612311722328,1.3707571801566454,1.3752455795677854
